Source,Target,Type,id,weight
Addam_Marbrand,Brynden_Tully,Undirected,0,3
Addam_Marbrand,Cersei_Lannister,Undirected,1,3
Addam_Marbrand,Gyles_Rosby,Undirected,2,3
Addam_Marbrand,Jaime_Lannister,Undirected,3,14
Addam_Marbrand,Jalabhar_Xho,Undirected,4,3
Addam_Marbrand,Joffrey_Baratheon,Undirected,5,3
Addam_Marbrand,Kevan_Lannister,Undirected,6,3
Addam_Marbrand,Lyle_Crakehall,Undirected,7,4
Addam_Marbrand,Oberyn_Martell,Undirected,8,3
Addam_Marbrand,Tyrion_Lannister,Undirected,9,7
Addam_Marbrand,Tywin_Lannister,Undirected,10,6
Addam_Marbrand,Varys,Undirected,11,4
Aegon_Frey_(son_of_Stevron),Catelyn_Stark,Undirected,12,4
Aegon_Frey_(son_of_Stevron),Robb_Stark,Undirected,13,5
Aegon_Frey_(son_of_Stevron),Stevron_Frey,Undirected,14,3
Aegon_Frey_(son_of_Stevron),Walder_Frey,Undirected,15,6
Aegon_I_Targaryen,Daenerys_Targaryen,Undirected,16,13
Aegon_I_Targaryen,Eddard_Stark,Undirected,17,4
Aegon_I_Targaryen,Harren_Hoare,Undirected,18,4
Aegon_I_Targaryen,Nan,Undirected,19,3
Aegon_I_Targaryen,Rhaenys_Targaryen,Undirected,20,4
Aegon_I_Targaryen,Stannis_Baratheon,Undirected,21,4
Aegon_I_Targaryen,Torrhen_Stark,Undirected,22,3
Aegon_I_Targaryen,Tyrion_Lannister,Undirected,23,3
Aegon_I_Targaryen,Visenya_Targaryen,Undirected,24,3
Aegon_Targaryen_(son_of_Rhaegar),Daenerys_Targaryen,Undirected,25,11
Aegon_Targaryen_(son_of_Rhaegar),Elia_Martell,Undirected,26,7
Aegon_Targaryen_(son_of_Rhaegar),Franklyn_Flowers,Undirected,27,3
Aegon_Targaryen_(son_of_Rhaegar),Haldon,Undirected,28,14
Aegon_Targaryen_(son_of_Rhaegar),Harry_Strickland,Undirected,29,9
Aegon_Targaryen_(son_of_Rhaegar),Jon_Connington,Undirected,30,16
Aegon_Targaryen_(son_of_Rhaegar),Lemore,Undirected,31,10
Aegon_Targaryen_(son_of_Rhaegar),Rhaegar_Targaryen,Undirected,32,12
Aegon_Targaryen_(son_of_Rhaegar),Rhaenys_Targaryen_(daughter_of_Rhaegar),Undirected,33,4
Aegon_Targaryen_(son_of_Rhaegar),Rolly_Duckfield,Undirected,34,11
Aegon_Targaryen_(son_of_Rhaegar),Tyrion_Lannister,Undirected,35,23
Aegon_Targaryen_(son_of_Rhaegar),Tywin_Lannister,Undirected,36,3
Aegon_Targaryen_(son_of_Rhaegar),Viserys_Targaryen,Undirected,37,3
Aegon_Targaryen_(son_of_Rhaegar),Yandry,Undirected,38,6
Aegon_Targaryen_(son_of_Rhaegar),Ysilla,Undirected,39,4
Aegon_V_Targaryen,Aemon_Targaryen_(Maester_Aemon),Undirected,40,6
Aemon_Targaryen_(Dragonknight),Jaime_Lannister,Undirected,41,3
Aemon_Targaryen_(Maester_Aemon),Alleras,Undirected,42,4
Aemon_Targaryen_(Maester_Aemon),Alliser_Thorne,Undirected,43,7
Aemon_Targaryen_(Maester_Aemon),Bowen_Marsh,Undirected,44,4
Aemon_Targaryen_(Maester_Aemon),Chett,Undirected,45,9
Aemon_Targaryen_(Maester_Aemon),Clydas,Undirected,46,33
Aemon_Targaryen_(Maester_Aemon),Cotter_Pyke,Undirected,47,3
Aemon_Targaryen_(Maester_Aemon),Daeron_II_Targaryen,Undirected,48,3
Aemon_Targaryen_(Maester_Aemon),Dareon,Undirected,49,5
Aemon_Targaryen_(Maester_Aemon),Denys_Mallister,Undirected,50,4
Aemon_Targaryen_(Maester_Aemon),Donal_Noye,Undirected,51,11
Aemon_Targaryen_(Maester_Aemon),Eddison_Tollett,Undirected,52,3
Aemon_Targaryen_(Maester_Aemon),Gilly,Undirected,53,20
Aemon_Targaryen_(Maester_Aemon),Grenn,Undirected,54,5
Aemon_Targaryen_(Maester_Aemon),Hobb,Undirected,55,3
Aemon_Targaryen_(Maester_Aemon),Janos_Slynt,Undirected,56,5
Aemon_Targaryen_(Maester_Aemon),Jeor_Mormont,Undirected,57,25
Aemon_Targaryen_(Maester_Aemon),Jon_Snow,Undirected,58,110
Aemon_Targaryen_(Maester_Aemon),Maekar_I_Targaryen,Undirected,59,3
Aemon_Targaryen_(Maester_Aemon),Mance_Rayder,Undirected,60,5
